Entity,Code,Year,Share of the population that was born in another country,Total number of international immigrants,GDP per capita
Palau,PLW,2020,28.597122,5088,18160.254
Panama,PAN,2000,2.7707567,83410,14572.976
Panama,PAN,2005,3.3039584,109461,16867.96
Panama,PAN,2010,4.3485317,157788,22739.111
Panama,PAN,2015,4.664353,184710,29933.156
Panama,PAN,2020,7.2943387,313165,26881.799
Panama,PAN,2024,10.580021,477749,36426.008
Paraguay,PRY,2000,3.4623127,176608,9998.593
Paraguay,PRY,2005,3.088106,168243,10290.101
Paraguay,PRY,2010,2.793653,160299,12738.576
Paraguay,PRY,2015,2.5403376,156462,14427.601
Paraguay,PRY,2020,2.5677423,169567,14991.66
Paraguay,PRY,2024,2.6097994,180837,16296.283
Peru,PER,2000,0.24852312,66103,7669.095
Peru,PER,2005,0.27470377,77195,8949.954
Peru,PER,2010,0.35295996,102662,12059.018
Peru,PER,2015,0.5008996,152562,14542.793
Peru,PER,2020,3.6078358,1184762,13609.6
Peru,PER,2024,5.3691835,1837219,15661.75
Philippines,PHL,2000,0.19762665,157361,4740.439
Philippines,PHL,2005,0.19171636,168741,5386.8164
Philippines,PHL,2010,0.1849204,178147,6273.039
Philippines,PHL,2015,0.12524286,131897,7691.763
Philippines,PHL,2020,0.0778114,87212,8455.185
Philippines,PHL,2024,0.07528422,87212,10375.94
Poland,POL,2000,2.1502051,822627,18566.355
Poland,POL,2005,1.9013739,724887,21568.947
Poland,POL,2010,1.7039192,649114,27112.133
Poland,POL,2015,1.7865922,683663,31700.37
Poland,POL,2020,1.9336637,738099,37852.8
Poland,POL,2024,4.5146265,1739901,45112.598
Portugal,PRT,2000,6.335302,651472,35069.83
Portugal,PRT,2005,7.342516,771184,35870.31
Portugal,PRT,2010,7.2109795,762825,36703.113
Portugal,PRT,2015,8.339361,864814,35803.355
Portugal,PRT,2020,9.661648,1001963,36852.227
Portugal,PRT,2024,10.812014,1127184,41883.85
Romania,ROU,2000,0.6087381,134204,14852.005
Romania,ROU,2005,0.6572736,139430,20568.717
Romania,ROU,2010,0.7248573,148107,24900.23
Romania,ROU,2015,1.0696986,212560,29178.744
Romania,ROU,2020,1.7467296,338734,35482.195
Romania,ROU,2024,3.447678,655579,40608.418
Russia,RUS,2000,8.111012,11900297,20104.75
Russia,RUS,2005,8.06899,11667588,27656.658
Russia,RUS,2010,7.7811294,11199727,33063.586
Russia,RUS,2015,6.2613573,9098229,35037.152
Russia,RUS,2020,4.9856844,7297611,36376.336
Russia,RUS,2024,5.2518654,7605774,41704.71
San Marino,SMR,2000,15.093846,4045,77149.414
San Marino,SMR,2005,14.762705,4218,81632.17
San Marino,SMR,2010,15.935214,4880,68669.25
San Marino,SMR,2015,15.324032,5195,59647.66
San Marino,SMR,2020,15.942363,5543,55998.07
Saudi Arabia,SAU,2000,32.262775,5219382,55962.266
Saudi Arabia,SAU,2005,32.126213,6605114,54931.793
Saudi Arabia,SAU,2010,35.683567,8976961,54911.547
Saudi Arabia,SAU,2015,44.209007,13251622,58498.54
Saudi Arabia,SAU,2020,42.17731,13071258,57420.734
Saudi Arabia,SAU,2024,40.290726,13683841,62676.7
Senegal,SEN,2000,2.326394,231901,3093.2878
Senegal,SEN,2005,2.1209433,238298,3301.8208
Senegal,SEN,2010,2.02678,256092,3403.5671
Senegal,SEN,2015,1.8261492,266496,3593.7947
Senegal,SEN,2020,1.637533,274929,4018.0413
Senegal,SEN,2024,1.523442,281867,4495.895
Serbia,SRB,2000,18.453852,1419951,11105.329
Serbia,SRB,2005,14.307122,1078633,15076.717
Serbia,SRB,2010,12.18308,901044,17840.436
Serbia,SRB,2015,11.112817,797595,18246.79
Serbia,SRB,2020,10.612492,733091,21477.877
Serbia,SRB,2024,10.577897,712550,26884.463
Sierra Leone,SLE,2000,2.214797,97974,1983.2887
Sierra Leone,SLE,2005,2.6578455,146227,2298.7239
Sierra Leone,SLE,2010,1.2738011,79265,2461.981
Sierra Leone,SLE,2015,0.83593184,58830,2630.535
Sierra Leone,SLE,2020,0.67924935,53746,2755.1025
Sierra Leone,SLE,2024,0.5785336,49997,3092.8306
Singapore,SGP,2000,32.697716,1319433,68314.55
Singapore,SGP,2005,35.014046,1494527,81841.16
Singapore,SGP,2010,42.551586,2160350,95456.19
Singapore,SGP,2015,45.88568,2535340,108953.73
Singapore,SGP,2020,46.06829,2589107,115893.04
Singapore,SGP,2024,48.72216,2841665,132569.53
Slovakia,SVK,2000,2.1631231,116376,18335.648
Slovakia,SVK,2005,2.4269743,130491,23257.13
Slovakia,SVK,2010,2.7137063,146319,29745.861
Slovakia,SVK,2015,3.2770276,177624,33507.727
Slovakia,SVK,2020,3.6143012,197161,36201.414
Slovakia,SVK,2024,5.883514,323991,40346.574
Slovenia,SVN,2000,10.796571,214508,30063.12
Slovenia,SVN,2005,10.877685,217218,35567.305
Slovenia,SVN,2010,12.412428,253786,38065.734
Slovenia,SVN,2015,11.535054,237616,38537.094
Slovenia,SVN,2020,13.221151,277964,42474.227
Slovenia,SVN,2024,14.873386,315122,48495.89
Somalia,SOM,2000,0.22737473,20097,702.5979
Somalia,SOM,2005,0.19511044,20768,830.50916
Somalia,SOM,2010,0.39232555,48106,994.86847
Somalia,SOM,2015,0.2968792,40990,1343.443
Somalia,SOM,2020,0.35186672,58590,1396.0535
Somalia,SOM,2024,0.4101814,77972,1408.2783
South Africa,ZAF,2000,2.115583,997703,11197.515
South Africa,ZAF,2005,3.058909,1513855,12877.307
South Africa,ZAF,2010,4.3452234,2274466,14182.334
South Africa,ZAF,2015,5.5754,3162564,14559.475
South Africa,ZAF,2020,4.357616,2639076,13266.786
South Africa,ZAF,2024,4.110632,2631100,13598.789
South Korea,KOR,2000,0.30882257,144426,25111.139
South Korea,KOR,2005,0.48429683,231744,31319.11
South Korea,KOR,2010,1.1607664,566098,37610.973
South Korea,KOR,2015,2.573698,1312172,42459.902
South Korea,KOR,2020,3.3232539,1723389,46361.598
South Korea,KOR,2024,3.5026903,1811507,
Spain,ESP,2000,4.9339275,2023886,39945.9
Spain,ESP,2005,9.946678,4372449,43570.766
Spain,ESP,2010,13.409757,6281193,42695.527
Spain,ESP,2015,12.622926,5892847,43053.76
Spain,ESP,2020,14.987849,7146130,41553.45
Spain,ESP,2024,18.514776,8870527,48373.047
Sri Lanka,LKA,2000,0.20801269,40132,6428.6133
Sri Lanka,LKA,2005,0.19551334,39526,7452.742
Sri Lanka,LKA,2010,0.18659338,38959,9832.187
Sri Lanka,LKA,2015,0.1827246,39706,13329.779
Sri Lanka,LKA,2020,0.17841657,40254,13886.651
Sri Lanka,LKA,2024,0.17615463,40698,13752.837
Sweden,SWE,2000,11.521014,1022156,47875.086
Sweden,SWE,2005,12.480616,1126971,53205.88
Sweden,SWE,2010,14.630412,1372074,55527.94
Sweden,SWE,2015,16.717161,1638195,58975.977
Sweden,SWE,2020,19.644232,2033902,59572.477
Sweden,SWE,2024,21.421309,2272158,63258.906
Switzerland,CHE,2000,20.66415,1484514,67378.39
Switzerland,CHE,2005,23.417027,1740312,69692.59
Switzerland,CHE,2010,26.246075,2053953,74290.266
Switzerland,CHE,2015,28.799276,2385713,76566.08
Switzerland,CHE,2020,30.208487,2610189,77324.89
Switzerland,CHE,2024,31.089956,2773840,82026.41
Syria,SYR,2000,5.018161,834916,7807.93
Syria,SYR,2005,4.690091,882398,8828.946
Syria,SYR,2010,7.933287,1783595,9546.561
Syria,SYR,2015,4.302355,835716,5302.074
Syria,SYR,2020,4.127005,868711,4633.3496
Tajikistan,TJK,2000,4.765499,299499,1365.2333
Tajikistan,TJK,2005,4.0502143,280466,1965.3002
Tajikistan,TJK,2010,3.6565976,279808,2449.2737
Tajikistan,TJK,2015,3.1826248,275101,3041.4448
Tajikistan,TJK,2020,2.8312876,276031,3724.749
Tajikistan,TJK,2024,2.6133406,276777,4755.933
Tanzania,TZA,2000,2.7717342,949600,1839.9366
Tanzania,TZA,2005,1.968127,771153,2253.0933
Tanzania,TZA,2010,0.6922642,309847,2654.8035
Tanzania,TZA,2015,0.73925394,384567,3111.4446
Tanzania,TZA,2020,0.6987001,426017,3449.8215
Tanzania,TZA,2024,0.6744019,462371,3713.263
Thailand,THA,2000,1.2240291,771234,11622.525
Thailand,THA,2005,2.5839317,1705845,14458.255
Thailand,THA,2010,3.8502119,2640454,16730.37
Thailand,THA,2015,4.04482,2853248,18811.998
Thailand,THA,2020,4.208465,3015007,19957.258
Thailand,THA,2024,4.4362874,3179399,21737.178
Togo,TGO,2000,2.6841831,137968,2096.8591
Togo,TGO,2005,3.49413,204219,1944.7795
Togo,TGO,2010,3.795924,255564,1988.9521
Togo,TGO,2015,3.6196914,277384,2317.5479
Togo,TGO,2020,3.2288933,279936,2490.053
Togo,TGO,2024,2.963605,281994,2849.6038
Tonga,TON,2000,3.5879505,3684,5808.265
Tonga,TON,2005,4.07018,4301,5828.3706
Tonga,TON,2010,4.289572,4607,5488.7505
Tonga,TON,2015,3.7268486,3954,6194.639
Tonga,TON,2020,3.540074,3742,6995.3174
Trinidad and Tobago,TTO,2000,3.1636477,41753,19662.75
Trinidad and Tobago,TTO,2005,3.3144138,44812,29574.334
Trinidad and Tobago,TTO,2010,3.4778683,48226,35190.215
Trinidad and Tobago,TTO,2015,3.4999595,50021,38951.926
Trinidad and Tobago,TTO,2020,5.3239517,78849,30723.404
Trinidad and Tobago,TTO,2024,7.5261545,113478,31689.732
Turkey,TUR,2000,1.9549105,1279019,14737.441
Turkey,TUR,2005,1.9402807,1345188,17659.898
Turkey,TUR,2010,1.9365993,1420433,19564.79
Turkey,TUR,2015,4.687894,3750982,25746.432
Turkey,TUR,2020,7.643357,6580295,28378.553
Turkey,TUR,2024,8.097854,7083501,35294.395
Tuvalu,TUV,2000,2.2841575,218,3721.8994
Tuvalu,TUV,2005,2.1026156,209,3488.5364
Tuvalu,TUV,2010,2.072734,220,3506.0603
Tuvalu,TUV,2015,2.097966,230,4088.7659
Tuvalu,TUV,2020,2.298298,239,5154.4595
Uganda,UGA,2000,2.601217,624296,1487.005
Uganda,UGA,2005,2.280118,637596,1765.0378
Uganda,UGA,2010,1.5901273,515055,2244.606
Uganda,UGA,2015,2.19331,823181,2520.02
Uganda,UGA,2020,3.9949434,1776038,2678.009
Uganda,UGA,2024,4.114276,2057759,2881.866
Ukraine,UKR,2000,11.153066,5527087,10364.0625
Ukraine,UKR,2005,10.613099,5050302,15610.573
Ukraine,UKR,2010,10.372754,4818767,16811.795
Ukraine,UKR,2015,10.7352915,4915142,15403.71
Ukraine,UKR,2020,11.184837,4997387,17092.54
Ukraine,UKR,2024,13.375973,5064173,16319.845
United Arab Emirates,ARE,2000,67.94121,2373577,92547.23
United Arab Emirates,ARE,2005,69.000534,3218730,89986.13
United Arab Emirates,ARE,2010,78.491135,5446000,68799.93
United Arab Emirates,ARE,2015,79.069626,6859000,70234.734
United Arab Emirates,ARE,2020,76.03304,7184000,65784.68
United Arab Emirates,ARE,2024,73.97211,8157000,68584.66
United Kingdom,GBR,2000,8.039478,4747902,43247.637
United Kingdom,GBR,2005,9.88511,5989992,47804.785
United Kingdom,GBR,2010,12.242079,7713303,47013.883
United Kingdom,GBR,2015,13.874485,9071431,49983.348
United Kingdom,GBR,2020,15.620756,10520870,47144.723
United Kingdom,GBR,2024,17.133047,11845479,52517.984
United States,USA,2000,12.365475,34806848,55038.62
United States,USA,2005,13.372878,39545828,59604.754
United States,USA,2010,14.128083,43947211,59789.414
United States,USA,2015,14.700733,47942986,64359.473
United States,USA,2020,14.869079,50471028,67342.07
United States,USA,2024,15.162426,52375047,75491.61
Uruguay,URY,2000,2.7210164,88874,18752.059
Uruguay,URY,2005,2.5052567,82317,18811.32
Uruguay,URY,2010,2.2992666,76303,24879.836
Uruguay,URY,2015,2.339626,78799,28941.629
Uruguay,URY,2020,3.1852903,108267,27788.186
Uruguay,URY,2024,4.726409,160064,32038.773
Uzbekistan,UZB,2000,5.674325,1406498,3410.6504
Uzbekistan,UZB,2005,5.0458446,1329932,4160.955
Uzbekistan,UZB,2010,4.298493,1220149,5760.805
Uzbekistan,UZB,2015,3.8077981,1170873,7529.7637
Uzbekistan,UZB,2020,3.4597573,1162007,8727.411
Uzbekistan,UZB,2024,3.1763034,1154963,10450.205
Vietnam,VNM,2000,0.11174144,86213,4349.2236
Vietnam,VNM,2005,0.10112061,81997,5776.3633
Vietnam,VNM,2010,0.09651575,84408,7274.733
Vietnam,VNM,2015,0.10922479,101386,9248.024
Vietnam,VNM,2020,0.20456837,200639,11851.396
Vietnam,VNM,2024,0.32322556,326418,14415.216
Zambia,ZMB,2000,3.430981,343703,2220.5654
Zambia,ZMB,2005,2.1580245,252895,2564.4756
Zambia,ZMB,2010,1.073796,149962,3266.5076
Zambia,ZMB,2015,0.80557525,132107,3576.9255
Zambia,ZMB,2020,0.9861541,187955,3391.5955
Zambia,ZMB,2024,1.1691556,249205,3716.0374
Zimbabwe,ZWE,2000,3.4485965,410109,4071.0188
Zimbabwe,ZWE,2005,3.2220786,402226,2642.1724
Zimbabwe,ZWE,2010,2.9821103,398307,2563.4783
Zimbabwe,ZWE,2015,2.7813156,400482,3366.6338
Zimbabwe,ZWE,2020,2.6801314,416141,2987.2683
Zimbabwe,ZWE,2024,2.5796463,429108,3450.1296
